Latitude,Longitude,Timestamp,Weather,Age,Type_of_Vehicle,Accident_Held
10.94,77.19,2010-12-26 06:15:02,Windy,59,Auto-rickshaw,Yes
11.13,77.11,1998-04-01 19:24:39,Foggy,48,Bike,No
10.97,76.99,2019-02-28 13:20:26,Foggy,57,Truck,Yes
11.07,77.15,2011-04-06 05:39:31,Windy,74,Auto-rickshaw,Yes
11.11,76.92,1994-07-08 19:30:36,Foggy,59,Car,Yes
10.85,77.04,1993-11-23 05:31:40,Rainy,75,Truck,Yes
11.06,76.81,2009-01-06 07:14:11,Foggy,49,Car,Yes
10.87,77.11,2002-11-28 23:05:36,Stormy,45,Truck,No
11.19,77.15,2008-06-27 07:50:15,Stormy,24,Bus,Yes
11.09,76.89,1993-09-04 18:13:16,Windy,60,Truck,Yes
11.1,77.19,1995-08-22 08:48:34,Foggy,66,Car,Yes
10.92,77.09,1993-01-06 07:30:22,Windy,44,Car,No
11.12,77.11,1996-10-10 21:17:20,Foggy,36,Car,Yes
10.83,76.94,2022-08-23 06:52:57,Stormy,44,Car,Yes
10.99,76.92,2014-12-29 20:37:35,Foggy,33,Truck,No
11.1,76.9,2010-09-28 04:55:30,Foggy,55,Car,No
11.16,77.12,1991-05-10 07:59:19,Stormy,19,Bus,Yes
11.13,77.1,1994-02-01 03:47:08,Clear,46,Bus,No
11.0,76.92,2019-02-02 10:50:11,Rainy,62,Truck,No
11.07,76.91,2014-12-29 20:37:35,Rainy,62,Bus,No
10.9,77.0,2018-05-06 20:14:14,Foggy,34,Bike,Yes
11.04,77.02,1992-06-30 11:21:24,Windy,33,Bike,Yes
11.03,76.95,2008-06-27 07:50:15,Clear,65,Bus,No
10.84,77.18,2008-05-28 06:59:03,Rainy,68,Bus,No
11.06,76.87,1998-07-22 19:36:43,Stormy,56,Truck,No
11.07,76.98,2011-09-13 23:22:37,Clear,52,Bus,No
10.97,77.14,2005-10-03 11:43:47,Windy,61,Bike,Yes
10.81,77.06,2004-08-02 13:16:47,Rainy,45,Bike,Yes
10.95,77.04,2013-07-19 17:17:30,Rainy,66,Bike,Yes
11.13,76.83,2001-05-08 09:39:04,Rainy,35,Car,Yes
11.19,76.98,2016-10-24 16:01:34,Rainy,60,Bike,No
11.09,77.02,2000-12-31 14:06:55,Windy,56,Truck,Yes
10.99,77.07,1995-12-02 02:24:02,Rainy,43,Bike,No
10.97,76.99,2015-11-05 03:48:46,Foggy,29,Bike,No
10.91,76.81,1991-10-03 14:40:44,Rainy,44,Car,Yes
10.82,76.89,1996-06-23 18:23:16,Rainy,40,Auto-rickshaw,Yes
11.0,77.17,1997-10-05 00:56:02,Stormy,68,Auto-rickshaw,No
11.08,76.96,2001-05-31 17:21:20,Windy,58,Truck,Yes
10.86,76.99,1998-06-29 01:20:25,Foggy,36,Truck,Yes
11.14,77.01,2021-02-17 00:42:12,Windy,54,Auto-rickshaw,No
10.99,77.09,1992-10-17 18:51:28,Rainy,36,Car,No
11.11,77.01,2015-01-21 04:45:26,Stormy,79,Truck,Yes
10.84,77.06,2002-10-03 08:49:05,Rainy,72,Bus,No
10.86,77.04,1990-08-22 18:51:20,Stormy,66,Car,No
11.04,77.02,1997-04-03 11:32:44,Stormy,40,Bike,Yes
11.04,76.88,2008-12-11 16:22:12,Foggy,58,Bike,No
10.96,76.85,2001-03-10 02:48:52,Foggy,70,Auto-rickshaw,Yes
10.96,77.12,2012-11-22 07:47:07,Rainy,32,Truck,Yes
10.83,76.89,2015-04-30 12:06:28,Stormy,69,Auto-rickshaw,No
10.86,77.12,1998-06-29 01:20:25,Clear,49,Bike,Yes
11.05,76.89,2003-03-15 07:27:52,Windy,73,Truck,Yes
11.02,77.13,2010-04-11 01:37:06,Stormy,31,Bus,No
11.02,76.94,2011-04-06 05:39:31,Clear,56,Truck,No
11.2,76.87,2000-12-10 01:00:09,Clear,75,Car,Yes
11.09,77.15,2018-07-30 15:47:05,Rainy,64,Auto-rickshaw,Yes
11.18,77.19,2002-01-26 09:42:16,Foggy,60,Bike,No
10.93,77.17,2003-01-05 18:31:21,Windy,27,Bike,Yes
10.91,77.18,2010-12-05 06:49:22,Stormy,47,Car,Yes
11.1,76.99,1999-08-04 20:20:05,Clear,29,Truck,Yes
11.15,77.12,2011-02-26 03:20:48,Foggy,38,Auto-rickshaw,Yes
10.94,77.04,1996-05-23 02:07:37,Windy,73,Bike,Yes
10.89,77.0,2000-08-06 05:51:57,Windy,73,Auto-rickshaw,Yes
10.85,76.9,2001-08-10 05:44:02,Clear,43,Bike,No
11.2,77.01,2017-04-25 08:15:29,Windy,77,Car,Yes
11.17,76.8,2021-07-29 21:23:29,Rainy,59,Car,Yes
10.8,77.02,2015-10-16 17:30:13,Windy,43,Bus,Yes
11.16,77.18,2021-01-15 06:21:18,Rainy,25,Car,Yes
10.98,76.85,2011-09-20 06:47:44,Rainy,72,Bus,No
11.15,76.87,2012-01-11 23:04:43,Stormy,57,Bus,Yes
10.92,76.96,1992-02-16 06:27:46,Stormy,79,Car,No
10.86,77.08,1997-10-05 00:56:02,Foggy,45,Auto-rickshaw,No
10.83,76.82,2013-08-26 03:15:31,Windy,43,Car,No
11.19,77.14,2004-08-22 08:00:44,Clear,42,Auto-rickshaw,Yes
10.87,76.92,2024-03-25 01:13:09,Stormy,48,Auto-rickshaw,No
11.04,76.97,2001-10-04 10:03:45,Clear,30,Auto-rickshaw,No
11.02,76.81,2014-12-29 20:37:35,Stormy,51,Car,Yes
11.04,77.16,2024-01-14 21:57:06,Windy,30,Truck,No
10.82,77.14,1991-12-14 12:13:40,Stormy,23,Bike,Yes
11.05,76.85,1990-10-21 00:48:27,Stormy,31,Auto-rickshaw,No
10.91,77.01,2002-09-07 10:32:38,Clear,31,Bike,No
10.85,77.05,2024-02-24 19:29:18,Rainy,58,Bus,No
11.03,77.07,2018-05-06 20:14:14,Rainy,67,Bus,Yes
10.91,76.95,2018-01-04 21:38:56,Stormy,53,Car,Yes
10.96,76.92,1990-08-01 16:55:10,Clear,39,Truck,Yes
10.81,77.01,2022-08-23 06:52:57,Rainy,77,Bus,Yes
11.18,77.07,1994-07-16 16:26:31,Clear,51,Bike,No
10.96,76.81,2010-11-20 11:40:39,Windy,56,Bus,Yes
11.08,77.14,2005-02-15 23:29:50,Foggy,58,Bike,Yes
11.05,76.85,2000-07-18 11:42:51,Clear,26,Bus,No
11.12,77.18,2003-09-11 02:22:17,Rainy,61,Bus,Yes
10.98,77.19,2023-08-15 14:44:50,Stormy,60,Truck,No
11.19,77.0,1999-06-06 22:35:18,Rainy,30,Auto-rickshaw,Yes
11.18,76.95,2008-07-18 22:51:19,Clear,42,Bike,No
10.99,76.99,2004-08-22 08:00:44,Windy,65,Auto-rickshaw,Yes
11.08,76.89,2024-11-15 02:12:52,Stormy,19,Bus,Yes
10.84,77.2,2016-09-17 08:37:28,Windy,79,Bus,Yes
10.9,76.81,2014-12-29 20:37:35,Foggy,46,Truck,No
11.01,76.98,1999-12-23 07:14:42,Windy,35,Auto-rickshaw,No
10.85,77.18,2011-03-13 13:03:30,Clear,33,Truck,No
11.1,76.87,2021-06-22 06:21:15,Stormy,56,Car,No
11.05,76.86,1997-09-13 15:21:29,Stormy,66,Truck,No
11.14,77.12,1990-08-22 18:51:20,Rainy,36,Car,No
10.82,77.0,1990-06-26 19:56:24,Clear,61,Car,Yes
11.18,76.92,2016-07-15 00:18:58,Windy,56,Truck,No
11.1,76.81,2024-02-05 12:14:04,Windy,19,Truck,Yes
11.15,76.96,2001-05-31 17:21:20,Clear,24,Truck,Yes
10.81,76.86,1999-02-12 22:54:44,Clear,56,Car,No
10.88,76.93,2006-03-15 05:58:37,Foggy,62,Truck,Yes
10.86,77.12,2017-03-10 15:04:22,Rainy,65,Truck,No
10.98,76.85,2022-02-16 12:12:28,Rainy,18,Bike,No
10.86,76.9,1992-04-20 11:25:41,Rainy,60,Auto-rickshaw,Yes
11.17,77.19,2015-08-10 13:06:41,Foggy,76,Car,No
11.02,77.12,2016-09-17 08:37:28,Clear,64,Bus,Yes
10.87,76.83,2008-12-11 16:22:12,Foggy,29,Bike,Yes
11.05,76.98,2013-08-26 03:15:31,Rainy,66,Truck,Yes
10.98,77.19,1992-05-21 13:47:55,Clear,27,Auto-rickshaw,Yes
10.99,76.86,2022-03-07 23:47:58,Stormy,77,Bus,No
10.84,76.93,2002-03-18 21:55:12,Stormy,40,Auto-rickshaw,No
11.04,77.19,1992-10-17 18:51:28,Foggy,38,Auto-rickshaw,No
10.81,77.07,1992-05-21 13:47:55,Stormy,70,Bike,No
11.11,76.94,2000-04-16 15:50:04,Foggy,51,Bus,Yes
10.96,77.08,2005-03-30 11:28:56,Clear,71,Bike,No
11.03,76.96,2013-02-26 07:30:43,Foggy,76,Auto-rickshaw,No
10.96,77.15,1995-08-30 12:44:43,Windy,33,Car,Yes
10.83,76.91,1990-08-01 16:55:10,Rainy,19,Bus,No
11.17,76.8,2022-01-07 13:12:10,Foggy,40,Bus,Yes
11.03,76.86,1994-12-07 10:24:26,Rainy,66,Truck,No
11.05,77.18,2001-01-03 10:49:04,Foggy,76,Bus,No
11.04,77.0,1997-08-22 07:39:07,Stormy,20,Auto-rickshaw,No
10.9,77.12,1999-12-24 04:13:28,Rainy,67,Car,Yes
10.86,76.9,2002-09-01 12:35:47,Rainy,75,Bike,Yes
10.93,76.99,2005-02-12 07:59:26,Windy,21,Bike,No
11.12,77.15,2023-06-28 08:57:14,Clear,56,Truck,No
10.99,77.15,1992-03-25 07:20:13,Clear,58,Bus,Yes
11.14,77.07,2016-05-31 22:59:04,Windy,47,Auto-rickshaw,Yes
11.07,77.1,1991-05-12 13:28:03,Stormy,48,Bus,Yes
10.81,77.08,1996-10-12 07:17:04,Clear,27,Auto-rickshaw,No
10.92,77.19,2003-04-28 01:43:09,Rainy,48,Bike,Yes
10.81,76.98,2023-11-07 16:45:37,Windy,42,Car,Yes
10.89,77.11,2013-11-08 18:48:19,Windy,70,Bus,No
10.97,77.17,2010-10-31 20:23:30,Rainy,52,Truck,No
10.85,77.05,2023-05-19 10:14:01,Clear,51,Bike,No
11.05,77.15,2005-02-15 23:29:50,Stormy,77,Auto-rickshaw,Yes
10.84,76.81,2022-03-06 18:41:59,Foggy,46,Bike,No
10.92,77.02,2000-07-18 11:42:51,Rainy,23,Car,No
10.82,76.98,2010-03-23 15:15:20,Rainy,71,Auto-rickshaw,Yes
11.07,77.08,2014-11-13 02:25:22,Windy,54,Truck,Yes
11.18,77.09,2001-03-10 02:48:52,Foggy,26,Car,No
11.0,77.14,1997-10-05 00:56:02,Clear,19,Truck,No
11.19,77.14,2017-05-16 00:20:30,Foggy,41,Truck,No
10.83,76.88,2024-03-25 01:13:09,Rainy,20,Auto-rickshaw,No
11.2,77.17,2018-01-04 21:38:56,Rainy,19,Truck,Yes
10.97,77.09,1998-04-01 19:24:39,Rainy,37,Auto-rickshaw,No
10.88,76.94,2014-06-13 07:08:22,Foggy,61,Auto-rickshaw,No
11.17,77.05,2023-05-19 10:14:01,Rainy,61,Bike,Yes
11.0,77.09,1997-09-13 15:21:29,Foggy,41,Bike,Yes
11.03,76.95,2006-05-24 05:25:34,Rainy,34,Car,No
10.98,76.99,2021-04-12 12:50:43,Foggy,19,Bus,No
10.99,76.84,1993-01-06 07:30:22,Foggy,71,Car,Yes
10.99,77.13,2015-10-16 17:30:13,Rainy,25,Auto-rickshaw,Yes
11.14,76.87,1992-03-02 17:31:06,Stormy,50,Bus,Yes
10.96,77.13,2005-10-03 11:43:47,Stormy,78,Auto-rickshaw,No
11.06,76.83,2017-12-01 16:47:03,Clear,40,Auto-rickshaw,No
10.94,76.96,2014-01-07 23:46:26,Rainy,57,Truck,Yes
11.01,77.06,1997-03-08 08:29:16,Clear,25,Bus,No
10.98,76.9,2007-12-25 21:24:23,Foggy,42,Car,Yes
11.11,77.04,2012-01-01 14:05:21,Clear,42,Truck,Yes
10.84,76.96,1992-03-10 08:35:30,Rainy,20,Car,Yes
11.11,76.99,2001-03-27 14:13:52,Clear,46,Car,No
10.96,77.01,2000-08-07 22:31:26,Windy,35,Bike,Yes
10.81,77.12,2021-04-02 11:11:45,Rainy,69,Auto-rickshaw,No
11.0,76.98,2021-02-08 04:41:22,Rainy,69,Car,Yes
11.16,77.19,2002-10-03 08:49:05,Clear,26,Truck,No
10.95,77.18,2008-08-31 00:57:18,Foggy,55,Bus,Yes
11.16,76.96,2013-03-29 16:16:26,Foggy,30,Bike,No
10.85,77.02,2005-11-26 14:19:43,Clear,53,Car,No
10.92,77.04,1992-01-29 10:06:20,Foggy,39,Auto-rickshaw,Yes
10.92,76.98,2022-03-06 18:41:59,Rainy,21,Bike,Yes
10.81,76.95,1997-03-02 02:36:35,Foggy,76,Truck,Yes
11.05,77.05,2022-06-30 11:43:55,Stormy,39,Auto-rickshaw,No
11.16,76.85,2002-08-24 10:35:40,Stormy,69,Truck,Yes
10.91,76.86,2007-01-21 08:44:31,Rainy,55,Auto-rickshaw,No
10.91,77.12,2009-04-10 02:51:49,Stormy,64,Car,Yes
10.88,77.16,2005-11-26 14:19:43,Stormy,48,Auto-rickshaw,No
11.03,76.86,2021-03-27 05:30:51,Foggy,26,Truck,No
11.19,77.11,2003-04-27 08:18:03,Clear,34,Bike,Yes
10.93,77.1,2019-02-21 14:59:47,Clear,23,Bike,No
10.84,76.81,2024-08-05 05:28:13,Stormy,46,Truck,Yes
10.94,76.93,2019-02-21 14:59:47,Rainy,22,Bike,No
11.19,76.88,1991-11-11 08:09:53,Clear,61,Bike,Yes
10.93,77.19,1995-12-02 02:24:02,Clear,73,Truck,Yes
11.13,76.83,2021-07-09 01:03:20,Windy,45,Car,Yes
11.07,77.0,2008-05-28 06:59:03,Rainy,50,Auto-rickshaw,Yes
11.09,77.16,2000-08-06 05:51:57,Clear,41,Truck,Yes
10.87,77.0,2005-10-17 14:39:04,Foggy,30,Truck,Yes
10.83,77.05,2012-04-11 21:44:11,Clear,59,Car,No
10.81,77.15,1991-12-14 12:13:40,Foggy,58,Bike,No
11.19,76.96,2001-10-29 20:57:21,Rainy,43,Bus,No
10.96,77.19,1997-06-27 03:39:18,Windy,49,Bike,No
10.83,77.09,2014-11-13 02:25:22,Clear,59,Truck,No
11.17,77.17,2023-02-07 12:07:26,Rainy,64,Truck,No
11.04,77.02,2001-03-10 02:48:52,Clear,57,Bike,No
11.19,77.03,2010-11-06 04:56:17,Rainy,19,Auto-rickshaw,No
11.01,76.82,2023-08-09 11:06:20,Clear,25,Bus,Yes
10.99,77.0,2024-05-03 14:32:10,Foggy,24,Bus,Yes
10.94,77.12,1996-10-19 21:25:39,Stormy,58,Car,Yes
10.88,77.01,1997-04-02 16:47:31,Rainy,33,Auto-rickshaw,Yes
11.14,76.81,1993-10-17 06:26:03,Stormy,24,Bus,Yes
10.8,77.14,1992-03-25 07:20:13,Windy,19,Bike,No
10.82,76.97,2009-11-04 19:41:05,Windy,79,Car,No
10.84,77.02,2008-05-23 08:17:09,Clear,60,Truck,No
10.87,77.19,1991-05-10 07:59:19,Foggy,45,Car,Yes
11.01,77.12,1998-07-29 20:54:52,Rainy,53,Truck,Yes
11.18,76.96,2015-08-29 14:10:31,Stormy,35,Truck,Yes
11.2,77.04,1992-02-16 06:27:46,Windy,67,Car,No
11.17,77.18,2021-08-28 03:16:52,Foggy,53,Car,Yes
11.08,76.96,2009-10-03 13:39:08,Windy,48,Bus,Yes
10.92,77.1,2006-02-01 02:45:08,Rainy,77,Auto-rickshaw,Yes
11.09,76.92,1992-03-02 17:31:06,Stormy,31,Car,Yes
11.19,77.18,1992-05-21 13:47:55,Rainy,56,Bus,No
10.87,77.02,2015-09-25 05:10:40,Stormy,36,Bus,Yes
11.0,77.05,2015-07-19 18:11:53,Stormy,54,Truck,No
11.16,76.94,1990-06-17 15:32:52,Stormy,53,Auto-rickshaw,No
10.87,76.91,2000-10-07 00:53:41,Windy,60,Car,Yes
11.14,77.13,2001-03-10 02:48:52,Windy,31,Bus,Yes
10.96,77.18,2016-07-02 04:53:12,Windy,66,Car,Yes
11.03,77.0,2004-05-14 14:33:44,Windy,73,Bike,No
11.02,76.93,2015-09-25 05:10:40,Windy,34,Truck,No
11.07,77.04,1995-07-11 10:05:27,Foggy,79,Auto-rickshaw,Yes
10.9,76.82,2000-09-12 05:13:44,Clear,70,Car,No
10.96,77.1,1992-11-25 13:01:05,Rainy,44,Bus,No
10.96,76.95,1997-08-22 07:39:07,Foggy,24,Car,Yes
10.95,77.02,2015-08-10 13:06:41,Foggy,65,Car,Yes
10.83,77.15,2004-08-02 13:16:47,Windy,57,Bus,Yes
11.15,77.13,2006-11-19 00:27:42,Windy,37,Car,Yes
11.14,77.07,2018-08-16 12:56:44,Clear,51,Bus,No
10.91,77.1,2010-04-11 01:37:06,Windy,39,Car,No
11.04,77.2,2001-10-29 20:57:21,Stormy,74,Car,Yes
10.86,77.01,2000-04-21 01:13:46,Rainy,31,Auto-rickshaw,No
10.92,77.19,1999-08-13 22:50:59,Windy,52,Bike,Yes
10.96,77.04,2010-11-22 00:26:22,Foggy,58,Bike,Yes
11.14,77.03,2011-04-07 01:42:42,Stormy,42,Truck,Yes
11.01,76.82,2009-10-03 13:39:08,Rainy,23,Car,Yes
10.99,76.86,2008-09-29 08:33:04,Foggy,45,Car,No
11.06,77.2,1993-10-17 06:26:03,Rainy,47,Car,No
11.09,76.91,1992-05-08 06:40:33,Rainy,33,Bike,No
10.97,77.03,2002-01-29 10:31:39,Foggy,55,Car,Yes
11.18,76.95,1997-03-02 02:36:35,Foggy,68,Auto-rickshaw,Yes
10.99,77.16,2021-04-02 11:11:45,Foggy,72,Bus,Yes
11.12,77.16,2011-09-20 06:47:44,Clear,37,Bus,Yes
11.13,76.92,2000-07-18 11:42:51,Foggy,25,Truck,Yes
11.15,77.12,2024-04-30 06:15:53,Windy,48,Bike,Yes
10.86,76.86,1998-06-05 01:59:35,Foggy,37,Bus,No
10.83,77.07,1994-04-26 12:06:37,Clear,78,Bus,Yes
11.15,76.91,1996-10-12 07:17:04,Foggy,65,Truck,No
10.82,76.83,2012-06-12 07:24:17,Stormy,19,Bus,Yes
10.96,77.18,2012-04-11 21:44:11,Stormy,24,Car,Yes
10.81,77.2,2011-12-27 18:37:45,Clear,79,Car,Yes
11.02,77.03,2003-04-07 19:46:56,Foggy,74,Bus,Yes
11.12,76.9,2009-08-03 17:18:18,Rainy,56,Bike,Yes
11.08,77.06,2024-08-05 05:28:13,Clear,36,Car,No
11.2,76.99,2002-08-24 10:35:40,Rainy,75,Bus,Yes
10.85,76.86,2007-10-05 23:52:45,Clear,79,Bike,Yes
10.97,77.16,2006-01-08 22:17:58,Clear,45,Bike,No
10.95,77.1,2013-03-29 16:16:26,Stormy,70,Car,Yes
11.04,76.83,2007-10-19 14:29:48,Rainy,19,Bus,Yes
11.0,77.15,2015-10-10 00:08:24,Foggy,43,Bike,No
10.84,77.19,2008-12-22 07:37:19,Rainy,63,Bike,Yes
11.07,76.97,2013-07-19 17:17:30,Foggy,59,Bike,Yes
10.86,77.04,2006-11-19 00:27:42,Stormy,66,Bus,No
11.1,76.92,1995-01-12 23:11:09,Stormy,64,Bus,Yes
11.18,76.91,2015-09-25 05:10:40,Foggy,31,Auto-rickshaw,Yes
11.02,77.01,1992-03-02 17:31:06,Foggy,75,Truck,No
11.04,77.14,2000-09-12 05:13:44,Foggy,41,Bus,No
10.82,77.13,2007-01-21 08:44:31,Foggy,22,Auto-rickshaw,No
10.84,76.95,2018-09-15 22:12:22,Rainy,50,Bike,Yes
11.17,77.18,2010-04-24 12:59:58,Rainy,68,Bike,No
10.87,76.82,2021-12-29 23:56:51,Rainy,37,Bus,Yes
10.85,76.87,1992-03-10 08:35:30,Foggy,27,Bike,Yes
11.14,76.93,2010-11-06 04:56:17,Rainy,41,Bike,Yes
10.99,77.04,2010-01-04 20:18:43,Windy,64,Bike,Yes
11.08,76.88,2018-01-04 21:38:56,Windy,30,Bus,Yes
11.17,77.11,2015-08-10 13:06:41,Foggy,41,Car,Yes
11.03,76.88,1991-02-15 23:48:02,Stormy,29,Bike,Yes
11.11,76.99,2006-03-15 05:58:37,Rainy,55,Bike,No
11.17,76.88,2002-09-01 12:35:47,Windy,56,Car,Yes
10.88,76.94,1997-08-30 23:16:06,Rainy,53,Car,No
10.89,76.91,2016-09-17 08:37:28,Foggy,61,Auto-rickshaw,Yes
11.09,77.18,2018-01-04 21:38:56,Foggy,29,Auto-rickshaw,No
11.04,76.83,2018-03-06 15:38:57,Clear,38,Truck,Yes
10.9,76.96,1992-01-14 16:15:23,Rainy,70,Auto-rickshaw,Yes
10.97,77.03,2011-04-13 01:19:12,Rainy,19,Bus,No
11.02,77.04,1996-06-23 18:23:16,Stormy,46,Truck,Yes
10.87,77.0,2002-08-24 10:35:40,Foggy,32,Bus,Yes
11.15,77.11,2018-03-20 12:25:39,Rainy,68,Bus,Yes
10.81,76.82,2021-02-06 17:45:05,Windy,44,Truck,No
10.82,76.96,2015-07-28 09:49:16,Stormy,44,Bike,Yes
10.81,76.88,2013-03-29 16:16:26,Windy,33,Auto-rickshaw,Yes
10.96,76.83,2004-12-26 09:58:06,Stormy,30,Truck,No
10.97,76.92,2007-11-28 21:15:57,Stormy,61,Truck,Yes
11.04,76.88,2000-12-31 14:06:55,Stormy,46,Auto-rickshaw,Yes
11.11,77.03,2018-03-06 15:38:57,Windy,56,Auto-rickshaw,Yes
11.14,76.85,2012-12-01 13:10:32,Clear,23,Bus,Yes
11.04,77.0,2006-06-22 11:36:55,Rainy,69,Bike,No
10.98,77.16,1994-07-16 16:26:31,Clear,46,Bike,Yes
11.15,77.17,2011-09-20 06:47:44,Rainy,73,Auto-rickshaw,No
10.83,76.91,2010-09-28 04:55:30,Stormy,37,Car,Yes
10.82,76.91,2000-10-07 00:53:41,Clear,60,Car,No
10.94,77.05,2012-04-17 02:40:14,Clear,65,Car,No
11.06,77.13,1991-05-12 13:28:03,Clear,45,Bike,No
10.85,76.89,2013-09-11 22:14:40,Stormy,75,Auto-rickshaw,Yes
10.97,77.09,2014-07-03 00:52:59,Rainy,76,Bike,No
10.81,77.03,2024-10-15 23:16:18,Windy,71,Truck,No
11.01,77.19,2018-03-03 15:05:47,Foggy,72,Car,No
11.02,77.06,2005-10-17 14:39:04,Rainy,23,Bike,Yes
10.91,76.95,1991-05-10 07:59:19,Foggy,78,Truck,Yes
11.04,76.89,2014-11-13 02:25:22,Windy,61,Bus,Yes
10.93,77.11,2000-08-07 22:31:26,Foggy,69,Truck,No
11.09,77.09,1997-02-20 10:08:49,Foggy,71,Bus,Yes
10.85,76.85,2012-01-10 13:35:32,Clear,45,Truck,No
11.09,77.05,2016-04-24 09:53:06,Stormy,24,Car,Yes
11.1,77.02,2010-12-05 06:49:22,Foggy,23,Bike,No
10.83,76.87,1993-03-07 14:09:44,Stormy,31,Bike,No
11.2,76.93,1999-06-14 16:06:05,Windy,24,Truck,No
10.93,76.99,2005-05-12 03:24:49,Rainy,72,Truck,Yes
10.94,76.89,1998-06-29 01:20:25,Windy,40,Auto-rickshaw,Yes
10.81,77.02,2014-11-27 06:51:47,Foggy,38,Car,No
10.86,77.01,1999-05-14 07:30:01,Foggy,41,Auto-rickshaw,Yes
11.11,77.12,1992-10-17 18:51:28,Foggy,69,Bike,Yes
10.81,77.05,2018-07-07 11:43:15,Clear,31,Auto-rickshaw,Yes
11.19,77.08,1994-02-01 03:47:08,Windy,38,Bus,No
10.95,77.12,2017-01-27 09:57:07,Stormy,59,Bus,Yes
10.86,76.85,2008-06-27 07:50:15,Rainy,54,Bike,Yes
10.94,76.87,1997-09-13 15:21:29,Rainy,75,Truck,Yes
10.81,77.03,2011-04-13 01:19:12,Foggy,38,Bike,Yes
10.91,77.12,2016-07-15 00:18:58,Stormy,75,Car,No
10.93,77.13,2009-08-12 02:12:07,Foggy,39,Auto-rickshaw,Yes
10.87,77.1,2022-01-07 13:12:10,Clear,41,Bus,Yes
11.2,76.82,2021-02-17 00:42:12,Clear,22,Bike,No
10.97,77.13,1999-06-14 16:06:05,Rainy,34,Bus,Yes
11.1,77.02,2002-08-24 10:35:40,Clear,37,Truck,No
